card_id,name,owned_multiverseid,created,modified,color,cmc,mana_cost,types,reserved,multiverse_id,printings
638,Burning-Tree Emissary,366467,2017-09-17 21:51:29.2203,,GR,2,{R/G}{R/G},Creature,f,426032,"[{""rarity"":""U"",""set"":""DDS"",""multiverseid"":426627},{""rarity"":""U"",""set"":""GK2"",""multiverseid"":460300},{""rarity"":""U"",""set"":""GTC"",""multiverseid"":366467},{""rarity"":""C"",""set"":""MM3"",""multiverseid"":426032}]"
754,"Alesha, Who Smiles at Death",391787,2017-09-17 22:00:47.724926,,R,3,{2}{R},Creature,f,,"[{""rarity"":""R"",""set"":""C16"",""multiverseid"":420736},{""rarity"":""R"",""set"":""FRF"",""multiverseid"":391787}]"
956,Brightling,,2019-01-19 16:30:41.743722,,W,3,{1}{W}{W},Creature,f,445993,"[{""rarity"":""M"",""set"":""BBD"",""multiverseid"":445993}]"
960,"Daretti, Ingenious Iconoclast",,2019-01-19 16:30:42.388949,,BR,3,{1}{B}{R},Planeswalker,f,,"[{""rarity"":""M"",""set"":""CN2"",""multiverseid"":416831}]"
931,Cast Down,442969,2018-07-01 01:53:13.296981,,B,2,{1}{B},Instant,f,,"[{""rarity"":""U"",""set"":""DOM"",""multiverseid"":442969}]"
930,Blink of an Eye,442934,2018-07-01 01:53:13.111107,,U,2,{1}{U},Instant,f,442934,"[{""rarity"":""C"",""set"":""DOM"",""multiverseid"":442934}]"
906,Abrade,430772,2018-01-05 02:26:07.542283,,R,2,{1}{R},Instant,f,,"[{""rarity"":""U"",""set"":""HOU"",""multiverseid"":430772}]"
908,Angel of Invention,417577,2018-01-05 02:26:07.904564,,W,5,{3}{W}{W},Creature,f,,"[{""rarity"":""M"",""set"":""KLD"",""multiverseid"":417577}]"
368,Karn Liberated,214350,2017-09-04 18:40:54.695617,,"",7,{7},Planeswalker,f,456601,"[{""rarity"":""M"",""set"":""MM2"",""multiverseid"":397828},{""rarity"":""M"",""set"":""NPH"",""multiverseid"":214350},{""rarity"":""M"",""set"":""PUMA"",""multiverseid"":457106},{""rarity"":""M"",""set"":""UMA"",""multiverseid"":456601}]"
491,Abrupt Decay,253561,2017-09-04 18:43:23.00728,,BG,2,{B}{G},Instant,f,253561,"[{""rarity"":""R"",""set"":""GK1"",""multiverseid"":456061},{""rarity"":""R"",""set"":""MM3"",""multiverseid"":425971},{""rarity"":""R"",""set"":""RTR"",""multiverseid"":253561}]"
962,Devoted Druid,135500,2019-01-19 16:31:07.410527,,G,2,{1}{G},Creature,f,456758,"[{""rarity"":""C"",""set"":""SHM"",""multiverseid"":135500},{""rarity"":""U"",""set"":""UMA"",""multiverseid"":456758}]"
533,Tidehollow Sculler,175054,2017-09-04 18:43:30.38259,,BW,2,{W}{B},"Artifact,Creature",f,,"[{""rarity"":""U"",""set"":""ALA"",""multiverseid"":175054},{""rarity"":""U"",""set"":""MD1"",""multiverseid"":382201},{""rarity"":""U"",""set"":""MMA"",""multiverseid"":370375}]"
116,Nezumi Graverobber,78678,2017-09-04 18:36:30.984429,,B,2,{1}{B},Creature,f,,"[{""rarity"":""U"",""set"":""CHK"",""multiverseid"":""78678""},{""rarity"":""U"",""set"":""CHK"",""multiverseid"":""78678""},{""rarity"":""U"",""set"":""CM2"",""multiverseid"":""446807""},{""rarity"":""U"",""set"":""CM2"",""multiverseid"":""446807""},{""rarity"":""U"",""set"":""CMD"",""multiverseid"":""247175""},{""rarity"":""U"",""set"":""CMD"",""multiverseid"":""247175""}]"
963,Disallow,423698,2019-01-19 16:31:07.572265,,U,3,{1}{U}{U},Instant,f,,"[{""rarity"":""R"",""set"":""AER"",""multiverseid"":423698}]"
913,Growing Rites of Itlimoc,435346,2018-01-05 02:49:41.666451,,G,3,{2}{G},Enchantment,f,435346,"[{""rarity"":""R"",""set"":""XLN"",""multiverseid"":435346}]"
1070,"Vivien, Monsters' Advocate",,2020-09-13 21:23:10.6471,,G,5,{3}{G}{G},Planeswalker,f,,"[{""rarity"":""M"",""set"":""IKO"",""multiverseid"":479695}]"
910,Desperate Ritual,80275,2018-01-05 02:49:41.148654,,R,2,{1}{R},Instant,f,456723,"[{""rarity"":""C"",""set"":""CHK"",""multiverseid"":80275},{""rarity"":""U"",""set"":""DDS"",""multiverseid"":426586},{""rarity"":""U"",""set"":""MMA"",""multiverseid"":370546},{""rarity"":""U"",""set"":""UMA"",""multiverseid"":456723}]"
933,Dire Fleet Daredevil,,2018-07-01 02:02:24.311815,,R,2,{1}{R},Creature,f,439756,"[{""rarity"":""R"",""set"":""RIX"",""multiverseid"":439756}]"
932,Demonlord Belzenlok,442974,2018-07-01 02:02:24.131604,,B,6,{4}{B}{B},Creature,f,,"[{""rarity"":""M"",""set"":""DOM"",""multiverseid"":442974}]"
964,Doom Whisperer,,2019-01-19 16:31:07.733582,,B,5,{3}{B}{B},Creature,f,,"[{""rarity"":""M"",""set"":""GRN"",""multiverseid"":452819}]"
936,"Gonti, Lord of Luxury",,2018-07-01 02:02:24.852935,,B,4,{2}{B}{B},Creature,f,,"[{""rarity"":""R"",""set"":""KLD"",""multiverseid"":417657}]"
934,Field of Ruin,476493,2018-07-01 02:02:24.493759,,"",0,,Land,f,435415,"[{""rarity"":""U"",""set"":""THB"",""multiverseid"":476493},{""rarity"":""U"",""set"":""XLN"",""multiverseid"":435415}]"
961,Dauntless Bodyguard,,2019-01-19 16:31:07.247301,,W,1,{W},Creature,f,442902,"[{""rarity"":""U"",""set"":""DOM"",""multiverseid"":442902}]"
966,Experimental Frenzy,452849,2019-01-19 16:31:08.059976,,R,4,{3}{R},Enchantment,f,,"[{""rarity"":""R"",""set"":""GRN"",""multiverseid"":452849}]"
965,Expansion // Explosion,452974,2019-01-19 16:31:07.891586,,UR,6,{U/R}{U/R} // {X}{U}{U}{R}{R},Instant,f,,"[{""rarity"":""R"",""set"":""GRN"",""multiverseid"":452974}]"
996,Blast Zone,461171,2019-05-30 12:56:50.824628,,"",0,,Land,f,461171,"[{""rarity"":""R"",""set"":""PWAR""},{""rarity"":""R"",""set"":""WAR"",""multiverseid"":461171}]"
481,Underground Sea,1384,2017-09-04 18:42:48.077167,,"",0,,Land,t,383142,"[{""rarity"":""R"",""set"":""2ED"",""multiverseid"":886},{""rarity"":""R"",""set"":""3ED"",""multiverseid"":1384},{""rarity"":""R"",""set"":""LEA"",""multiverseid"":287},{""rarity"":""R"",""set"":""LEB"",""multiverseid"":584}]"
1064,Fiend Artisan,,2020-09-13 21:21:09.714978,,BG,2,{B/G}{B/G},Creature,f,,"[{""rarity"":""M"",""set"":""IKO"",""multiverseid"":479740}]"
1063,Elder Gargaroth,,2020-09-13 21:21:09.565994,,G,5,{3}{G}{G},Creature,f,,"[{""rarity"":""M"",""set"":""M21"",""multiverseid"":485502},{""rarity"":""M"",""set"":""M21"",""multiverseid"":488272}]"
994,Bedevil,,2019-05-30 12:56:50.53982,,BR,3,{B}{B}{R},Instant,f,457301,"[{""rarity"":""R"",""set"":""PRN""},{""rarity"":""R"",""set"":""RNA"",""multiverseid"":457301}]"
995,Biogenic Ooze,,2019-05-30 12:56:50.681877,,G,5,{3}{G}{G},Creature,f,457266,"[{""rarity"":""M"",""set"":""RNA"",""multiverseid"":457266}]"
209,Ajani Goldmane,205957,2017-09-04 18:38:16.816254,,W,4,{2}{W}{W},Planeswalker,f,,"[{""rarity"":""R"",""set"":""LRW"",""multiverseid"":140233},{""rarity"":""M"",""set"":""M10"",""multiverseid"":191239},{""rarity"":""M"",""set"":""M11"",""multiverseid"":205957}]"
361,Etched Oracle,370435,2017-09-04 18:40:53.351545,,"",4,{4},"Artifact,Creature",f,370435,"[{""rarity"":""U"",""set"":""5DN"",""multiverseid"":72725},{""rarity"":""U"",""set"":""C16"",""multiverseid"":420869},{""rarity"":""U"",""set"":""HOP"",""multiverseid"":205330},{""rarity"":""U"",""set"":""MM2"",""multiverseid"":397838},{""rarity"":""U"",""set"":""MMA"",""multiverseid"":370435}]"
519,"Nicol Bolas, Planeswalker",179441,2017-09-04 18:43:27.923102,,BRU,8,{4}{U}{B}{B}{R},Planeswalker,f,,"[{""rarity"":""M"",""set"":""CON"",""multiverseid"":179441},{""rarity"":""M"",""set"":""DDH"",""multiverseid"":266154},{""rarity"":""M"",""set"":""E01"",""multiverseid"":430624},{""rarity"":""M"",""set"":""M13"",""multiverseid"":260991}]"
757,Punishing Fire,192217,2017-09-17 22:00:48.231032,,R,2,{1}{R},Instant,f,192217,"[{""rarity"":""U"",""set"":""CMD"",""multiverseid"":247550},{""rarity"":""U"",""set"":""DDG"",""multiverseid"":243483},{""rarity"":""U"",""set"":""ZEN"",""multiverseid"":192217}]"
843,Lumbering Falls,401943,2017-09-17 22:06:12.051205,,"",0,,Land,f,,"[{""rarity"":""R"",""set"":""BFZ"",""multiverseid"":401943}]"
846,Shambling Vent,402031,2017-09-17 22:06:12.559936,,"",0,,Land,f,,"[{""rarity"":""R"",""set"":""BFZ"",""multiverseid"":402031}]"
912,God-Pharaoh's Gift,430850,2018-01-05 02:49:41.495955,,"",7,{7},Artifact,f,,"[{""rarity"":""R"",""set"":""HOU"",""multiverseid"":430850}]"
911,Glorybringer,426836,2018-01-05 02:49:41.323905,,R,5,{3}{R}{R},Creature,f,,"[{""rarity"":""R"",""set"":""AKH"",""multiverseid"":426836}]"
968,Goblin Rabblemaster,,2019-01-19 16:31:08.400009,,R,3,{2}{R},Creature,f,,"[{""rarity"":""R"",""set"":""DDT"",""multiverseid"":438486},{""rarity"":""R"",""set"":""M15"",""multiverseid"":383258}]"
1215,Solitude,,2021-10-25 02:17:46.660856,,W,5,{3}{W}{W},Creature,f,,"[{""rarity"":""M"",""set"":""MH2"",""multiverseid"":""522108""},{""rarity"":""M"",""set"":""MH2"",""multiverseid"":""525342""}]"
1216,Cave of the Frost Dragon,,2021-10-25 02:17:46.844948,,C,0,,Land,f,,"[{""rarity"":""R"",""set"":""AFR"",""multiverseid"":""527540""},{""rarity"":""R"",""set"":""AFR"",""multiverseid"":""530834""}]"
935,Goblin Chainwhirler,443017,2018-07-01 02:02:24.667,,R,3,{R}{R}{R},Creature,f,,"[{""rarity"":""R"",""set"":""DOM"",""multiverseid"":443017}]"
235,"Isamaru, Hound of Konda",79217,2017-09-04 18:38:21.350002,,W,1,{W},Creature,f,,"[{""rarity"":""R"",""set"":""CHK"",""multiverseid"":79217}]"
415,"Ulamog, the Infinite Gyre",397815,2017-09-04 18:41:02.919614,,"",11,{11},Creature,f,261321,"[{""rarity"":""M"",""set"":""MM2"",""multiverseid"":397815},{""rarity"":""M"",""set"":""PUMA"",""multiverseid"":457108},{""rarity"":""M"",""set"":""ROE"",""multiverseid"":194911},{""rarity"":""M"",""set"":""UMA"",""multiverseid"":456603},{""rarity"":""M"",""set"":""V11"",""multiverseid"":261321}]"
253,Porcelain Legionnaire,218043,2017-09-04 18:38:24.488125,,W,3,{2}{W/P},"Artifact,Creature",f,218043,"[{""rarity"":""C"",""set"":""NPH"",""multiverseid"":218043}]"
241,Lingering Souls,262695,2017-09-04 18:38:22.395341,,W,3,{2}{W},Sorcery,f,,"[{""rarity"":""U"",""set"":""DDK"",""multiverseid"":368485},{""rarity"":""U"",""set"":""DKA"",""multiverseid"":262695},{""rarity"":""U"",""set"":""MD1"",""multiverseid"":382191},{""rarity"":""U"",""set"":""MM3"",""multiverseid"":425837}]"
393,Phyrexian Revoker,220589,2017-09-04 18:40:59.067599,,"",2,{2},"Artifact,Creature",f,220589,"[{""rarity"":""R"",""set"":""M15"",""multiverseid"":383343},{""rarity"":""R"",""set"":""MBS"",""multiverseid"":220589}]"
394,Precursor Golem,206348,2017-09-04 18:40:59.239432,,"",5,{5},"Artifact,Creature",f,206348,"[{""rarity"":""R"",""set"":""MM2"",""multiverseid"":397708},{""rarity"":""R"",""set"":""SOM"",""multiverseid"":206348}]"
397,Razormane Masticore,106552,2017-09-04 18:40:59.770461,,"",5,{5},"Artifact,Creature",f,,"[{""rarity"":""R"",""set"":""10E"",""multiverseid"":106552},{""rarity"":""R"",""set"":""5DN"",""multiverseid"":50155},{""rarity"":""R"",""set"":""DDF"",""multiverseid"":222707}]"
850,Anguished Unmaking,410006,2017-09-17 22:06:17.823596,,BW,3,{1}{W}{B},Instant,f,410006,"[{""rarity"":""R"",""set"":""SOI"",""multiverseid"":410006}]"
285,Boon Satyr,373509,2017-09-04 18:39:32.142458,,G,3,{1}{G}{G},"Enchantment,Creature",f,373509,"[{""rarity"":""R"",""set"":""C18"",""multiverseid"":451087},{""rarity"":""R"",""set"":""THS"",""multiverseid"":373509}]"
243,Loam Lion,197873,2017-09-04 18:38:22.750559,,W,1,{W},Creature,f,197873,"[{""rarity"":""U"",""set"":""DDH"",""multiverseid"":249377},{""rarity"":""U"",""set"":""WWK"",""multiverseid"":197873}]"
438,Gaea's Cradle,10422,2017-09-04 18:42:40.548993,,"",0,,Land,t,,"[{""rarity"":""R"",""set"":""USG"",""multiverseid"":10422}]"
1034,Giver of Runes,463962,2020-01-13 15:33:40.987917,,W,1,{W},Creature,f,463962,"[{""rarity"":""R"",""set"":""MH1"",""multiverseid"":463962}]"
259,Savannah Lions,2363,2017-09-04 18:38:25.539502,,W,1,{W},Creature,f,,"[{""rarity"":""R"",""set"":""2ED"",""multiverseid"":867},{""rarity"":""R"",""set"":""3ED"",""multiverseid"":1365},{""rarity"":""R"",""set"":""4ED"",""multiverseid"":2363},{""rarity"":""R"",""set"":""8ED"",""multiverseid"":45207},{""rarity"":""R"",""set"":""9ED"",""multiverseid"":83246},{""rarity"":""C"",""set"":""A25"",""multiverseid"":442022},{""rarity"":""R"",""set"":""LEA"",""multiverseid"":269},{""rarity"":""R"",""set"":""LEB"",""multiverseid"":565}]"
622,Mutavault,152724,2017-09-17 21:50:35.751945,,"",0,,Land,f,,"[{""rarity"":""R"",""set"":""M14"",""multiverseid"":370733},{""rarity"":""R"",""set"":""MOR"",""multiverseid"":152724}]"
324,"Rofellos, Llanowar Emissary",15237,2017-09-04 18:39:38.937826,,G,2,{G}{G},Creature,t,383074,"[{""rarity"":""R"",""set"":""UDS"",""multiverseid"":15237}]"
413,Tangle Wire,21399,2017-09-04 18:41:02.567842,,"",3,{3},Artifact,f,,"[{""rarity"":""R"",""set"":""NEM"",""multiverseid"":21399},{""rarity"":""M"",""set"":""V13"",""multiverseid"":373322}]"
940,"Karn, Scion of Urza",,2018-07-01 02:03:21.971128,,"",4,{4},Planeswalker,f,,"[{""rarity"":""M"",""set"":""DOM"",""multiverseid"":442889}]"
809,Bring to Light,401831,2017-09-17 22:04:30.456182,,GU,5,{3}{G}{U},Sorcery,f,,"[{""rarity"":""R"",""set"":""BFZ"",""multiverseid"":401831}]"
917,Kitesail Freebooter,435264,2018-01-05 02:52:42.810688,,B,2,{1}{B},Creature,f,435264,"[{""rarity"":""U"",""set"":""XLN"",""multiverseid"":435264}]"
204,Torch Fiend,244702,2017-09-04 18:37:40.867798,,R,2,{1}{R},Creature,f,383416,"[{""rarity"":""C"",""set"":""CNS"",""multiverseid"":382383},{""rarity"":""C"",""set"":""DKA"",""multiverseid"":244702},{""rarity"":""U"",""set"":""M13"",""multiverseid"":279989},{""rarity"":""C"",""set"":""M15"",""multiverseid"":383416}]"
217,Catastrophe,5637,2017-09-04 18:38:18.236843,,W,6,{4}{W}{W},Sorcery,f,5637,"[{""rarity"":""R"",""set"":""BRB"",""multiverseid"":21143},{""rarity"":""R"",""set"":""USG"",""multiverseid"":5637}]"
232,Gideon's Lawkeeper,228122,2017-09-04 18:38:20.831958,,W,1,{W},Creature,f,425832,"[{""rarity"":""C"",""set"":""E01"",""multiverseid"":430550},{""rarity"":""C"",""set"":""M12"",""multiverseid"":228122},{""rarity"":""C"",""set"":""MM3"",""multiverseid"":425832}]"
1065,Heartless Act,,2020-09-13 21:21:36.186713,,B,2,{1}{B},Instant,f,479611,"[{""rarity"":""U"",""set"":""IKO"",""multiverseid"":479611}]"
972,Manamorphose,153968,2019-01-19 16:37:37.259919,,GR,2,{1}{R/G},Instant,f,153968,"[{""rarity"":""U"",""set"":""MMA"",""multiverseid"":370568},{""rarity"":""C"",""set"":""SHM"",""multiverseid"":153968}]"
1000,Fractured Identity,,2019-05-30 12:57:22.594046,,UW,5,{3}{W}{U},Sorcery,f,,"[{""rarity"":""R"",""set"":""C17"",""multiverseid"":433278},{""rarity"":""R"",""set"":""PZ2""}]"
323,Restock,383362,2017-09-04 18:39:38.764502,,G,5,{3}{G}{G},Sorcery,f,383362,"[{""rarity"":""R"",""set"":""INV"",""multiverseid"":23145},{""rarity"":""U"",""set"":""M15"",""multiverseid"":383362}]"
1066,"Lukka, Coppercoat Outcast",,2020-09-13 21:21:36.336722,,R,5,{3}{R}{R},Planeswalker,f,,"[{""rarity"":""M"",""set"":""IKO"",""multiverseid"":479645}]"
344,Wolfir Silverheart,240090,2017-09-04 18:39:42.431501,,G,5,{3}{G}{G},Creature,f,240090,"[{""rarity"":""R"",""set"":""AVR"",""multiverseid"":240090}]"
392,Pentad Prism,72860,2017-09-04 18:40:58.898994,,"",2,{2},Artifact,f,,"[{""rarity"":""C"",""set"":""5DN"",""multiverseid"":72860},{""rarity"":""C"",""set"":""HOP"",""multiverseid"":205331}]"
938,Jadelight Ranger,439793,2018-07-01 02:03:21.609125,,G,3,{1}{G}{G},Creature,f,439793,"[{""rarity"":""R"",""set"":""RIX"",""multiverseid"":439793}]"
1232,Smoldering Egg,,2021-10-25 02:17:49.682708,,R,2,,Creature,f,,"[{""rarity"":""R"",""set"":""MID"",""multiverseid"":""534939""},{""rarity"":""R"",""set"":""MID"",""multiverseid"":""534940""},{""rarity"":""R"",""set"":""MID"",""multiverseid"":""538714""},{""rarity"":""R"",""set"":""MID"",""multiverseid"":""538715""}]"
1234,"Laelia, the Blade Reforged",,2021-10-25 02:17:50.037709,,R,3,{2}{R},Creature,f,,"[{""rarity"":""R"",""set"":""C21"",""multiverseid"":""518449""},{""rarity"":""R"",""set"":""C21"",""multiverseid"":""521649""}]"
1235,Dragon's Rage Channeler,,2021-10-25 02:17:50.211595,,R,1,{R},Creature,f,,"[{""rarity"":""U"",""set"":""MH2"",""multiverseid"":""522197""}]"
1230,Den of the Bugbear,,2021-10-25 02:17:49.330602,,C,0,,Land,f,,"[{""rarity"":""R"",""set"":""AFR"",""multiverseid"":""527541""},{""rarity"":""R"",""set"":""AFR"",""multiverseid"":""530835""}]"
1228,Bloodthirsty Adversary,534905,2021-10-25 02:17:48.971102,,R,2,{1}{R},Creature,f,,"[{""rarity"":""M"",""set"":""MID"",""multiverseid"":""534905""},{""rarity"":""M"",""set"":""MID"",""multiverseid"":""538707""}]"
418,Winter Orb,1141,2017-09-04 18:41:03.451101,,"",2,{2},Artifact,f,,"[{""rarity"":""R"",""set"":""2ED"",""multiverseid"":643},{""rarity"":""R"",""set"":""3ED"",""multiverseid"":1141},{""rarity"":""R"",""set"":""4ED"",""multiverseid"":2081},{""rarity"":""R"",""set"":""5ED"",""multiverseid"":3820},{""rarity"":""R"",""set"":""EMA"",""multiverseid"":413776},{""rarity"":""R"",""set"":""LEA"",""multiverseid"":46},{""rarity"":""R"",""set"":""LEB"",""multiverseid"":341}]"
441,Golgari Rot Farm,397879,2017-09-04 18:42:41.080295,,"",0,,Land,f,,"[{""rarity"":""C"",""set"":""C13"",""multiverseid"":376353},{""rarity"":""C"",""set"":""C15"",""multiverseid"":405247},{""rarity"":""U"",""set"":""C16"",""multiverseid"":420915},{""rarity"":""U"",""set"":""C18"",""multiverseid"":451204},{""rarity"":""U"",""set"":""C19"",""multiverseid"":470794},{""rarity"":""U"",""set"":""CM2"",""multiverseid"":446990},{""rarity"":""C"",""set"":""CMA"",""multiverseid"":430472},{""rarity"":""C"",""set"":""CMD"",""multiverseid"":247380},{""rarity"":""C"",""set"":""DDJ"",""multiverseid"":292950},{""rarity"":""C"",""set"":""GK1"",""multiverseid"":456078},{""rarity"":""U"",""set"":""IMA"",""multiverseid"":438802},{""rarity"":""U"",""set"":""MM2"",""multiverseid"":397879},{""rarity"":""C"",""set"":""RAV"",""multiverseid"":87939}]"
943,Noxious Gearhulk,,2018-07-01 02:05:37.182259,,B,6,{4}{B}{B},"Artifact,Creature",f,,"[{""rarity"":""M"",""set"":""KLD"",""multiverseid"":417669},{""rarity"":""M"",""set"":""MPS"",""multiverseid"":420590}]"
945,Rekindling Phoenix,,2018-07-01 02:05:37.540204,,R,4,{2}{R}{R},Creature,f,439768,"[{""rarity"":""M"",""set"":""RIX"",""multiverseid"":439768}]"
922,Rite of Flame,,2018-01-05 02:54:10.958546,,R,1,{R},Sorcery,f,121217,"[{""rarity"":""C"",""set"":""CSP"",""multiverseid"":121217}]"
944,Ravenous Chupacabra,439739,2018-07-01 02:05:37.360838,,B,4,{2}{B}{B},Creature,f,439739,"[{""rarity"":""U"",""set"":""A25"",""multiverseid"":442093},{""rarity"":""U"",""set"":""RIX"",""multiverseid"":439739}]"
923,Search for Azcanta,435226,2018-01-05 02:54:11.128684,,U,2,{1}{U},Enchantment,f,435226,"[{""rarity"":""R"",""set"":""XLN"",""multiverseid"":435226}]"
954,"Aurelia, Exemplar of Justice",452903,2019-01-19 16:30:41.422155,,RW,4,{2}{R}{W},Creature,f,,"[{""rarity"":""M"",""set"":""GRN"",""multiverseid"":452903}]"
974,Night's Whisper,,2019-01-19 16:37:52.645952,,B,2,{1}{B},Sorcery,f,,"[{""rarity"":""U"",""set"":""5DN"",""multiverseid"":51178},{""rarity"":""U"",""set"":""DDM"",""multiverseid"":380191},{""rarity"":""C"",""set"":""EMA"",""multiverseid"":413642}]"
983,Runaway Steam-Kin,452865,2019-01-19 16:37:54.136958,,R,2,{1}{R},Creature,f,,"[{""rarity"":""R"",""set"":""GRN"",""multiverseid"":452865},{""rarity"":""R"",""set"":""PGRN""}]"
